Type,Start Date/time,Start Date/time (Epoch),[Bottle Feed] Breast Milk Volume,[Bottle Feed] Breast Milk Volume Unit,[Bottle Feed] Formula Volume,[Bottle Feed] Formula Volume Unit,[Bottle Feed] Volume,[Bottle Feed] Volume Unit,[Breastfeed] Left Duration (Seconds),[Breastfeed] Right Duration (Seconds)
Bottle Feed,2026-03-20 00:30:00,1773981000,,,,,3.2,oz,,
Bottle Feed,2026-03-20 03:40:00,1773992400,,,,,3.4,oz,,
Bottle Feed,2026-03-20 06:50:00,1774003800,,,,,3.6,oz,,
Bottle Feed,2026-03-20 09:55:00,1774014900,,,,,3.5,oz,,
Bottle Feed,2026-03-20 13:05:00,1774026300,,,,,3.1,oz,,
Bottle Feed,2026-03-20 16:10:00,1774037400,,,,,3.3,oz,,
Bottle Feed,2026-03-20 19:20:00,1774048800,,,,,3.8,oz,,
Bottle Feed,2026-03-20 22:35:00,1774060500,,,,,4.0,oz,,
Bottle Feed,2026-03-21 00:20:00,1774066800,,,,,3.1,oz,,
Bottle Feed,2026-03-21 03:25:00,1774077900,,,,,3.3,oz,,
Bottle Feed,2026-03-21 06:35:00,1774089300,,,,,3.5,oz,,
Bottle Feed,2026-03-21 09:45:00,1774100700,,,,,3.4,oz,,
Bottle Feed,2026-03-21 12:55:00,1774112100,,,,,3.0,oz,,
Bottle Feed,2026-03-21 16:00:00,1774123200,,,,,3.2,oz,,
Bottle Feed,2026-03-21 19:10:00,1774134600,,,,,3.7,oz,,
Bottle Feed,2026-03-21 22:25:00,1774146300,,,,,3.9,oz,,
Bottle Feed,2026-03-22 00:10:00,1774152600,,,,,3.0,oz,,
Bottle Feed,2026-03-22 03:20:00,1774164000,,,,,3.2,oz,,
Bottle Feed,2026-03-22 06:30:00,1774175400,,,,,3.4,oz,,
Bottle Feed,2026-03-22 09:40:00,1774186800,,,,,3.3,oz,,
Bottle Feed,2026-03-22 12:50:00,1774198200,,,,,2.9,oz,,
Bottle Feed,2026-03-22 15:55:00,1774209300,,,,,3.1,oz,,
Bottle Feed,2026-03-22 19:05:00,1774220700,,,,,3.6,oz,,
Bottle Feed,2026-03-22 22:20:00,1774232400,,,,,3.8,oz,,
Bottle Feed,2026-03-23 00:00:00,1774238400,,,,,2.9,oz,,
Bottle Feed,2026-03-23 03:15:00,1774250100,,,,,3.1,oz,,
Bottle Feed,2026-03-23 06:25:00,1774261500,,,,,3.3,oz,,
Bottle Feed,2026-03-23 09:35:00,1774272900,,,,,3.2,oz,,
Bottle Feed,2026-03-23 12:45:00,1774284300,,,,,2.8,oz,,
Bottle Feed,2026-03-23 15:50:00,1774295400,,,,,3.0,oz,,
Bottle Feed,2026-03-23 19:00:00,1774306800,,,,,3.5,oz,,
Bottle Feed,2026-03-23 22:15:00,1774318500,,,,,3.7,oz,,
