boundary_index,feed_a_time,feed_b_time,gap_minutes,volume_a_oz,volume_b_oz,label,previous_gap_minutes,next_gap_minutes,feed_a_hour_of_day
1,2026-03-15T03:04,2026-03-15T06:13,188.2,3.00,3.60,new_episode,,237.5,3.07
2,2026-03-15T06:13,2026-03-15T10:10,237.5,3.60,3.00,new_episode,188.2,204.7,6.22
3,2026-03-15T10:10,2026-03-15T13:35,204.7,3.00,3.00,new_episode,237.5,35.5,10.17
4,2026-03-15T13:35,2026-03-15T14:10,35.5,3.00,1.00,same_episode,204.7,98.9,13.58
5,2026-03-15T14:10,2026-03-15T15:49,98.9,1.00,2.00,new_episode,35.5,51.3,14.17
6,2026-03-15T15:49,2026-03-15T16:40,51.3,2.00,2.00,same_episode,98.9,150.6,15.82
7,2026-03-15T16:40,2026-03-15T19:11,150.6,2.00,2.50,new_episode,51.3,64.0,16.67
8,2026-03-15T19:11,2026-03-15T20:15,64.0,2.50,0.50,same_episode,150.6,114.8,19.18
9,2026-03-15T20:15,2026-03-15T22:10,114.8,0.50,3.25,new_episode,64.0,56.5,20.25
10,2026-03-15T22:10,2026-03-15T23:06,56.5,3.25,0.50,same_episode,114.8,162.6,22.17
11,2026-03-15T23:06,2026-03-16T01:49,162.6,0.50,3.50,new_episode,56.5,205.2,23.10
12,2026-03-16T01:49,2026-03-16T05:14,205.2,3.50,3.00,new_episode,162.6,207.8,1.82
13,2026-03-16T05:14,2026-03-16T08:42,207.8,3.00,3.75,new_episode,205.2,128.4,5.23
14,2026-03-16T08:42,2026-03-16T10:50,128.4,3.75,2.00,new_episode,207.8,27.6,8.70
15,2026-03-16T10:50,2026-03-16T11:18,27.6,2.00,1.00,same_episode,128.4,33.9,10.83
16,2026-03-16T11:18,2026-03-16T11:52,33.9,1.00,0.50,same_episode,27.6,130.3,11.30
17,2026-03-16T11:52,2026-03-16T14:02,130.3,0.50,3.00,new_episode,33.9,55.4,11.87
18,2026-03-16T14:02,2026-03-16T14:58,55.4,3.00,0.50,same_episode,130.3,21.4,14.03
19,2026-03-16T14:58,2026-03-16T15:19,21.4,0.50,0.50,same_episode,55.4,94.5,14.97
20,2026-03-16T15:19,2026-03-16T16:53,94.5,0.50,1.50,new_episode,21.4,40.6,15.32
21,2026-03-16T16:53,2026-03-16T17:34,40.6,1.50,1.50,same_episode,94.5,164.9,16.88
22,2026-03-16T17:34,2026-03-16T20:19,164.9,1.50,3.50,new_episode,40.6,53.8,17.57
23,2026-03-16T20:19,2026-03-16T21:13,53.8,3.50,1.00,same_episode,164.9,207.2,20.32
24,2026-03-16T21:13,2026-03-17T00:40,207.2,1.00,3.50,new_episode,53.8,251.8,21.22
25,2026-03-17T00:40,2026-03-17T04:52,251.8,3.50,3.50,new_episode,207.2,204.9,0.67
26,2026-03-17T04:52,2026-03-17T08:17,204.9,3.50,4.00,new_episode,251.8,146.4,4.87
27,2026-03-17T08:17,2026-03-17T10:43,146.4,4.00,2.50,new_episode,204.9,107.0,8.28
28,2026-03-17T10:43,2026-03-17T12:30,107.0,2.50,1.00,new_episode,146.4,208.3,10.72
29,2026-03-17T12:30,2026-03-17T15:58,208.3,1.00,4.00,new_episode,107.0,122.5,12.50
30,2026-03-17T15:58,2026-03-17T18:01,122.5,4.00,2.50,new_episode,208.3,183.8,15.97
31,2026-03-17T18:01,2026-03-17T21:05,183.8,2.50,3.50,new_episode,122.5,205.4,18.02
32,2026-03-17T21:05,2026-03-18T00:30,205.4,3.50,3.50,new_episode,183.8,211.4,21.08
33,2026-03-18T00:30,2026-03-18T04:02,211.4,3.50,3.25,new_episode,205.4,198.2,0.50
34,2026-03-18T04:02,2026-03-18T07:20,198.2,3.25,3.10,new_episode,211.4,150.8,4.03
35,2026-03-18T07:20,2026-03-18T09:51,150.8,3.10,2.50,new_episode,198.2,272.4,7.33
36,2026-03-18T09:51,2026-03-18T14:23,272.4,2.50,3.50,new_episode,150.8,208.6,9.85
37,2026-03-18T14:23,2026-03-18T17:52,208.6,3.50,3.50,new_episode,272.4,153.3,14.38
38,2026-03-18T17:52,2026-03-18T20:25,153.3,3.50,3.50,new_episode,208.6,145.9,17.87
39,2026-03-18T20:25,2026-03-18T22:51,145.9,3.50,3.50,new_episode,153.3,153.8,20.42
40,2026-03-18T22:51,2026-03-19T01:25,153.8,3.50,3.50,new_episode,145.9,157.0,22.85
41,2026-03-19T01:25,2026-03-19T04:02,157.0,3.50,2.00,new_episode,153.8,178.7,1.42
42,2026-03-19T04:02,2026-03-19T07:00,178.7,2.00,3.50,new_episode,157.0,193.9,4.03
43,2026-03-19T07:00,2026-03-19T10:14,193.9,3.50,2.50,new_episode,178.7,123.5,7.00
44,2026-03-19T10:14,2026-03-19T12:18,123.5,2.50,1.50,new_episode,193.9,188.9,10.23
45,2026-03-19T12:18,2026-03-19T15:27,188.9,1.50,3.80,new_episode,123.5,95.5,12.30
46,2026-03-19T15:27,2026-03-19T17:02,95.5,3.80,2.00,new_episode,188.9,153.1,15.45
47,2026-03-19T17:02,2026-03-19T19:35,153.1,2.00,3.50,new_episode,95.5,113.2,17.03
48,2026-03-19T19:35,2026-03-19T21:28,113.2,3.50,3.50,new_episode,153.1,164.5,19.58
49,2026-03-19T21:28,2026-03-20T00:13,164.5,3.50,3.50,new_episode,113.2,182.2,21.47
50,2026-03-20T00:13,2026-03-20T03:15,182.2,3.50,3.00,new_episode,164.5,205.3,0.22
51,2026-03-20T03:15,2026-03-20T06:40,205.3,3.00,3.50,new_episode,182.2,179.4,3.25
52,2026-03-20T06:40,2026-03-20T09:40,179.4,3.50,3.50,new_episode,205.3,177.6,6.67
53,2026-03-20T09:40,2026-03-20T12:37,177.6,3.50,3.50,new_episode,179.4,180.3,9.67
54,2026-03-20T12:37,2026-03-20T15:38,180.3,3.50,3.50,new_episode,177.6,173.6,12.62
55,2026-03-20T15:38,2026-03-20T18:31,173.6,3.50,3.50,new_episode,180.3,158.7,15.63
56,2026-03-20T18:31,2026-03-20T21:10,158.7,3.50,2.75,new_episode,173.6,197.5,18.52
57,2026-03-20T21:10,2026-03-21T00:27,197.5,2.75,3.50,new_episode,158.7,169.6,21.17
58,2026-03-21T00:27,2026-03-21T03:17,169.6,3.50,3.50,new_episode,197.5,184.2,0.45
59,2026-03-21T03:17,2026-03-21T06:21,184.2,3.50,3.50,new_episode,169.6,197.6,3.28
60,2026-03-21T06:21,2026-03-21T09:39,197.6,3.50,3.50,new_episode,184.2,142.7,6.35
61,2026-03-21T09:39,2026-03-21T12:02,142.7,3.50,2.00,new_episode,197.6,76.1,9.65
62,2026-03-21T12:02,2026-03-21T13:18,76.1,2.00,3.00,new_episode,142.7,89.9,12.03
63,2026-03-21T13:18,2026-03-21T14:48,89.9,3.00,1.00,new_episode,76.1,40.2,13.30
64,2026-03-21T14:48,2026-03-21T15:28,40.2,1.00,3.00,same_episode,89.9,214.2,14.80
65,2026-03-21T15:28,2026-03-21T19:02,214.2,3.00,4.00,new_episode,40.2,213.7,15.47
66,2026-03-21T19:02,2026-03-21T22:36,213.7,4.00,4.30,new_episode,214.2,226.5,19.03
67,2026-03-21T22:36,2026-03-22T02:22,226.5,4.30,3.50,new_episode,213.7,187.8,22.60
68,2026-03-22T02:22,2026-03-22T05:30,187.8,3.50,4.50,new_episode,226.5,203.4,2.37
69,2026-03-22T05:30,2026-03-22T08:53,203.4,4.50,3.25,new_episode,187.8,181.1,5.50
70,2026-03-22T08:53,2026-03-22T11:54,181.1,3.25,3.50,new_episode,203.4,71.6,8.88
71,2026-03-22T11:54,2026-03-22T13:06,71.6,3.50,1.00,same_episode,181.1,209.8,11.90
72,2026-03-22T13:06,2026-03-22T16:36,209.8,1.00,4.00,new_episode,71.6,77.5,13.10
